State,City,FAA,IATA,ICAO,Airport
SOUTH CAROLINA,Florence,FLO,FLO,KFLO,Florence Regional Airport
SOUTH CAROLINA,Greenville,GSP,GSP,KGSP,Greenville-Spartanburg International Airport (Roger Milliken Field)
SOUTH CAROLINA,Hilton Head Island,HXD,HHH,KHXD,Hilton Head Airport
SOUTH CAROLINA,Myrtle Beach,MYR,MYR,KMYR,Myrtle Beach International Airport
SOUTH DAKOTA,Aberdeen,ABR,ABR,KABR,Aberdeen Regional Airport
SOUTH DAKOTA,Pierre,PIR,PIR,KPIR,Pierre Regional Airport
SOUTH DAKOTA,Rapid City,RAP,RAP,KRAP,Rapid City Regional Airport
SOUTH DAKOTA,Sioux Falls,FSD,FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field)
TENNESSEE,Bristol / Johnson City / Kingsport,TRI,TRI,KTRI,Tri-Cities Regional Airport
TENNESSEE,Chattanooga,CHA,CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field)
TENNESSEE,Knoxville,TYS,TYS,KTYS,McGhee Tyson Airport
TENNESSEE,Memphis,MEM,MEM,KMEM,Memphis International Airport
TENNESSEE,Nashville,BNA,BNA,KBNA,Nashville International Airport (Berry Field)
TEXAS,Abilene,ABI,ABI,KABI,Abilene Regional Airport
TEXAS,Amarillo,AMA,AMA,KAMA,Rick Husband Amarillo International Airport
TEXAS,Austin,AUS,AUS,KAUS,Austin-Bergstrom International Airport
TEXAS,Beaumont / Port Arthur,BPT,BPT,KBPT,Jack Brooks Regional Airport
TEXAS,Brownsville,BRO,BRO,KBRO,Brownsville/South Padre Island International Airport
TEXAS,College Station,CLL,CLL,KCLL,Easterwood Airport (Easterwood Field)
TEXAS,Corpus Christi / Kingsville,CRP,CRP,KCRP,Corpus Christi International Airport
TEXAS,Dallas,DAL,DAL,KDAL,Dallas Love Field
TEXAS,Dallas-Fort Worth,DFW,DFW,KDFW,Dallas/Fort Worth International Airport
TEXAS,Del Rio,DRT,DRT,KDRT,Del Rio International Airport
TEXAS,El Paso,ELP,ELP,KELP,El Paso International Airport
TEXAS,Fort Hood / Killeen / Temple,GRK,GRK,KGRK,Killeen-Fort Hood Regional Airport
TEXAS,Harlingen,HRL,HRL,KHRL,Valley International Airport
TEXAS,Houston,IAH,IAH,KIAH,George Bush Intercontinental Airport
TEXAS,Houston,HOU,HOU,KHOU,William P. Hobby Airport
TEXAS,Laredo,LRD,LRD,KLRD,Laredo International Airport
TEXAS,Longview,GGG,GGG,KGGG,East Texas Regional Airport
TEXAS,Lubbock,LBB,LBB,KLBB,Lubbock Preston Smith International Airport
TEXAS,McAllen,MFE,MFE,KMFE,McAllen-Miller International Airport (McAllen Miller International)
TEXAS,Midland,MAF,MAF,KMAF,Midland International Airport
TEXAS,San Angelo,SJT,SJT,KSJT,San Angelo Regional Airport (Mathis Field)
TEXAS,San Antonio,SAT,SAT,KSAT,San Antonio International Airport
TEXAS,Tyler,TYR,TYR,KTYR,Tyler Pounds Regional Airport
TEXAS,Waco,ACT,ACT,KACT,Waco Regional Airport
TEXAS,Wichita Falls,SPS,SPS,KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base
UTAH,Provo,PVU,PVU,KPVU,Provo Municipal Airport
UTAH,Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport
UTAH,St. George / Beaver,SGU,SGU,KSGU,St. George Regional Airport
UTAH,Wendover,ENV,ENV,KENV,Wendover Airport (charter flights)
VERMONT,Burlington,BTV,BTV,KBTV,Burlington International Airport
VIRGINIA,Charlottesville,CHO,CHO,KCHO,Charlottesville–Albemarle Airport
VIRGINIA,Lynchburg,LYH,LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field)
VIRGINIA,Newport News,PHF,PHF,KPHF,Newport News/Williamsburg International Airport 
VIRGINIA,Norfolk,ORF,ORF,KORF,Norfolk International Airport
VIRGINIA,Richmond,RIC,RIC,KRIC,Richmond International Airport
VIRGINIA,Roanoke,ROA,ROA,KROA,Roanoke Regional Airport
VIRGINIA,Staunton / Waynesboro / Harrisonburg,SHD,SHD,KSHD,Shenandoah Valley Regional Airport
VIRGINIA,"Washington, D.C. / Arlington County",DCA,DCA,KDCA,Ronald Reagan Washington National Airport
VIRGINIA,"Washington, D.C. / Dulles / Chantilly",IAD,IAD,KIAD,Washington Dulles International Airport
WASHINGTON,Bellingham,BLI,BLI,KBLI,Bellingham International Airport
WASHINGTON,Friday Harbor,FHR,FRD,KFHR,Friday Harbor Airport
WASHINGTON,Pasco,PSC,PSC,KPSC,Tri-Cities Airport
WASHINGTON,Port Angeles,CLM,CLM,KCLM,William R. Fairchild International Airport
WASHINGTON,"Pullman / Moscow, Idaho",PUW,PUW,KPUW,Pullman/Moscow Regional Airport
WASHINGTON,Seattle,BFI,BFI,KBFI,King County International Airport
WASHINGTON,Seattle / Tacoma (SeaTac),SEA,SEA,KSEA,Seattle–Tacoma International Airport
WASHINGTON,Spokane,GEG,GEG,KGEG,Spokane International Airport
WASHINGTON,Walla Walla,ALW,ALW,KALW,Walla Walla Regional Airport
WASHINGTON,Wenatchee,EAT,EAT,KEAT,Pangborn Memorial Airport
WASHINGTON,Yakima,YKM,YKM,KYKM,Yakima Air Terminal
WEST VIRGINIA,Charleston,CRW,CRW,KCRW,Yeager Airport
WEST VIRGINIA,Clarksburg,CKB,CKB,KCKB,North Central West Virginia Airport
WEST VIRGINIA,Huntington,HTS,HTS,KHTS,Tri-State Airport
WEST VIRGINIA,Lewisburg,LWB,LWB,KLWB,Greenbrier Valley Airport
WEST VIRGINIA,Morgantown,MGW,MGW,KMGW,Morgantown Municipal Airport
WISCONSIN,Appleton,ATW,ATW,KATW,Appleton International Airport
WISCONSIN,Eau Claire,EAU,EAU,KEAU,Chippewa Valley Regional Airport
WISCONSIN,Green Bay,GRB,GRB,KGRB,Green Bay–Austin Straubel International Airport
WISCONSIN,La Crosse,LSE,LSE,KLSE,La Crosse Regional Airport
WISCONSIN,Madison,MSN,MSN,KMSN,Dane County Regional Airport 
WISCONSIN,Milwaukee,MKE,MKE,KMKE,General Mitchell International Airport
WISCONSIN,Mosinee,CWA,CWA,KCWA,Central Wisconsin Airport
WISCONSIN,Rhinelander,RHI,RHI,KRHI,Rhinelander-Oneida County Airport
WYOMING,Casper,CPR,CPR,KCPR,Casper/Natrona County International Airport
WYOMING,Cheyenne,CYS,CYS,KCYS,Cheyenne Regional Airport
WYOMING,Cody,COD,COD,KCOD,Yellowstone Regional Airport
