State,City,FAA,IATA,ICAO,Airport
LOUISIANA,Baton Rouge,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field)
LOUISIANA,Lafayette,LFT,LFT,KLFT,Lafayette Regional Airport
LOUISIANA,Lake Charles,LCH,LCH,KLCH,Lake Charles Regional Airport
LOUISIANA,Monroe,MLU,MLU,KMLU,Monroe Regional Airport
LOUISIANA,New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport
LOUISIANA,Shreveport,SHV,SHV,KSHV,Shreveport Regional Airport
MAINE,Bangor,BGR,BGR,KBGR,Bangor International Airport
MAINE,Portland,PWM,PWM,KPWM,Portland International Jetport
MAINE,Presque Isle,PQI,PQI,KPQI,Northern Maine Regional Airport at Presque Isle
MAINE,Rockland,RKD,RKD,KRKD,Knox County Regional Airport
MARYLAND,Baltimore / Glen Burnie,BWI,BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport
MARYLAND,Salisbury,SBY,SBY,KSBY,Salisbury-Ocean City Wicomico Regional Airport
MARYLAND,Hagerstown,HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field)
MASSACHUSETTS,Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport
MASSACHUSETTS,Hyannis,HYA,HYA,KHYA,Barnstable Municipal Airport (Boardman/Polando Field)
MASSACHUSETTS,Nantucket,ACK,ACK,KACK,Nantucket Memorial Airport
MASSACHUSETTS,Provincetown,PVC,PVC,KPVC,Provincetown Municipal Airport
MASSACHUSETTS,Vineyard Haven,MVY,MVY,KMVY,Martha's Vineyard Airport
MASSACHUSETTS,Worcester,ORH,ORH,KORH,Worcester Regional Airport
MICHIGAN,Alpena,APN,APN,KAPN,Alpena County Regional Airport
MICHIGAN,Beaver Island,6Y8,,,Welke Airport
MICHIGAN,Detroit / Romulus,DTW,DTW,KDTW,Detroit Metropolitan Wayne County Airport
MICHIGAN,Escanaba,ESC,ESC,KESC,Delta County Airport
MICHIGAN,Flint,FNT,FNT,KFNT,Bishop International Airport
MICHIGAN,Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport
MICHIGAN,Hancock / Calumet,CMX,CMX,KCMX,Houghton County Memorial Airport
MICHIGAN,Iron Mountain / Kingsford,IMT,IMT,KIMT,Ford Airport
MICHIGAN,Kalamazoo / Battle Creek,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport
MICHIGAN,Lansing,LAN,LAN,KLAN,Capital Region International Airport
MICHIGAN,Marquette / Gwinn,SAW,MQT,KSAW,Sawyer International Airport
MICHIGAN,Muskegon,MKG,MKG,KMKG,Muskegon County Airport
MICHIGAN,Pellston,PLN,PLN,KPLN,Pellston Regional Airport of Emmet County
MICHIGAN,Saginaw,MBS,MBS,KMBS,MBS International Airport
MICHIGAN,Sault Ste. Marie,CIU,CIU,KCIU,Chippewa County International Airport
MICHIGAN,Traverse City,TVC,TVC,KTVC,Cherry Capital Airport
MINNESOTA,Bemidji,BJI,BJI,KBJI,Bemidji Regional Airport
MINNESOTA,Brainerd,BRD,BRD,KBRD,Brainerd Lakes Regional Airport
MINNESOTA,Duluth,DLH,DLH,KDLH,Duluth International Airport
MINNESOTA,Hibbing,HIB,HIB,KHIB,Range Regional Airport
MINNESOTA,International Falls,INL,INL,KINL,Falls International Airport
MINNESOTA,Minneapolis,MSP,MSP,KMSP,Minneapolis–St. Paul International Airport (Wold–Chamberlain Field)
MINNESOTA,Rochester,RST,RST,KRST,Rochester International Airport
MINNESOTA,St. Cloud,STC,STC,KSTC,St. Cloud Regional Airport
MISSISSIPPI,Columbus / West Point / Starkville,GTR,GTR,KGTR,Golden Triangle Regional Airport
MISSISSIPPI,Gulfport / Biloxi,GPT,GPT,KGPT,Gulfport–Biloxi International Airport
MISSISSIPPI,Hattiesburg / Laurel,PIB,PIB,KPIB,Hattiesburg–Laurel Regional Airport
MISSISSIPPI,Jackson,JAN,JAN,KJAN,Jackson–Evers International Airport
MISSOURI,Columbia,COU,COU,KCOU,Columbia Regional Airport
MISSOURI,Joplin,JLN,JLN,KJLN,Joplin Regional Airport
MISSOURI,Kansas City,MCI,MCI,KMCI,Kansas City International Airport
MISSOURI,Springfield,SGF,SGF,KSGF,Springfield-Branson National Airport
MISSOURI,St. Louis,STL,STL,KSTL,St. Louis Lambert International Airport
MONTANA,Billings,BIL,BIL,KBIL,Billings Logan International Airport
MONTANA,Bozeman,BZN,BZN,KBZN,Bozeman Yellowstone International Airport
MONTANA,Butte,BTM,BTM,KBTM,Bert Mooney Airport
MONTANA,Great Falls,GTF,GTF,KGTF,Great Falls International Airport
MONTANA,Helena,HLN,HLN,KHLN,Helena Regional Airport
MONTANA,Kalispell,GPI,FCA,KGPI,Glacier Park International Airport
MONTANA,Missoula,MSO,MSO,KMSO,Missoula International Airport
NEBRASKA,Grand Island,GRI,GRI,KGRI,Central Nebraska Regional Airport
